Key,routineStart,routineEnd,participant_id
1spl1,1680003250,1680003260,1
1spl2,1680003260,1680003268,1
1Item1,1680003268,1680003276,1
1Item2,1680003276,1680003290,1
1Item3,1680003291,1680003307,1
1Item4,1680003307,1680003325,1
1Item5,1680003325,1680003351,1
1Item6,1680003351,1680003359,1
1Item7,1680003359,1680003368,1
1Item8,1680003368,1680003385,1
1Item9,1680003385,1680003394,1
1Item10,1680003394,1680003416,1
2spl1,1680003479,1680003485,1
2spl2,1680003487,1680003494,1
2Item1,1680003495,1680003500,1
2Item2,1680003501,1680003504,1
2Item3,1680003505,1680003511,1
2Item4,1680003512,1680003523,1
2Item5,1680003524,1680003531,1
2Item6,1680003532,1680003545,1
2Item7,1680003546,1680003581,1
2Item8,1680003582,1680003590,1
2Item9,1680003591,1680003610,1
2Item10,1680003611,1680003626,1
3spl1,1680003673,1680003677,1
3spl2,1680003677,1680003680,1
3Item15,1680003680,1680003688,1
3Item2,1680003688,1680003691,1
3Item5,1680003691,1680003694,1
3Item12,1680003694,1680003702,1
3Item6,1680003702,1680003706,1
3Item8,1680003706,1680003718,1
3Item7,1680003718,1680003724,1
3Item9,1680003724,1680003746,1
3Item17,1680003746,1680003757,1
3Item19,1680003757,1680003770,1
3Item11,1680003770,1680003781,1
3Item4,1680003781,1680003791,1
3Item13,1680003791,1680003799,1
3Item10,1680003799,1680003800,1
1spl1,1676984654,1676984665,2
1spl2,1676984665,1676984669,2
1Item1,1676984669,1676984676,2
1Item2,1676984676,1676984689,2
1Item3,1676984689,1676984707,2
1Item4,1676984707,1676984735,2
1Item5,1676984735,1676984772,2
1Item6,1676984772,1676984799,2
1Item7,1676984799,1676984812,2
1Item8,1676984812,1676984839,2
1Item9,1676984839,1676984872,2
1Item10,1676984872,1676984878,2
2spl1,1676984952,1676984968,2
2spl2,1676984970,1676984984,2
2Item1,1676984987,1676985004,2
2Item2,1676985006,1676985021,2
2Item3,1676985022,1676985047,2
2Item4,1676985049,1676985059,2
2Item5,1676985060,1676985076,2
2Item6,1676985077,1676985094,2
